id,sire,dam
34H,V84,J71
51G,I47,D69
58H,V79,03B
68H,D52,V24
09H,T30,K79
07G,J26,E65
28G,V79,X70
15G,V79,I88
62G,F26,Z98
29G,T30,J12
61H,E05,985
83G,722,J99
41H,F27,36B
57H,J26,699
74H,D71,D07
26H,K85,L29
74G,H87,L88
18H,J21,679
24H,K32,C26
95F,J26,E66
53H,761,K81
08J,E54,D97
52I,658,I12
67I,V79,J85
04I,F26,44B
12J,C99,O38
68I,X94,F72
28I,K85,K84
73I,C56,H45
31J,X94,D69
34I,23A,Z74
27J,X94,J28
34J,V79,89C
83H,K85,N20
01J,X94,O56
17J,I47,V24
26J,T16,N13
55I,X94,K11
40I,A87,L88
92H,X16,K79
31I,761,G68
97I,Z06,21C
78H,G62,82C
05I,J21,G43
24J,J26,J95
05J,K85,B60
28J,H87,985
53I,X94,T27
32J,B09,I50
15J,D52,K28
14I,X94,C87
02J,X94,78A
35J,K85,Z53
89I,E05,J89
68J,J26,J29
08L,E54,L29
41K,T16,L84
15K,X94,K00
92K,H79,Z73
14L,658,F25
31K,V79,E66
67J,Z10,03B
39K,J21,B75
95K,C99,Z74
73J,V79,48B
51K,F26,O38
53J,H87,I12
88K,D78,O56
04L,F26,44B
93K,E54,X33
62J,X94,T27
78K,K85,G68
27K,D78,V76
86J,Z06,21C
85K,658,J95
15L,E05,T12
66N,E54,E55
22L,56C,78A
71N,L83,K84
57N,O81,31A
73N,K85,D07
13O,Z06,K00
87N,X98,O38
79N,V83,Z52
23N,E54,81B
93N,X27,Z74
16N,H87,I12
47L,V79,K11
43L,Z06,39B
11O,Z06,21C
39L,56C,D69
56L,E54,V99
54N,L83,C12
88N,O81,H64
14N,658,985
53P,A87,V76
65O,G62,K83
87O,K85,J12
32P,G62,L48
93O,G23,L84
26P,F32,I56
32O,45A,N86
06P,88C,J28
52P,D78,61A
05P,V79,D69
31O,88C,K11
97O,O34,G43
67P,E54,K89
50P,I37,56E
48P,E05,86C
87P,I37,V36
96R,X98,X60
28R,K85,J99
87R,29C,78A
93P,V79,D69
82S,Z10,V36
42T,L83,K28
22Z,J21,K28
62V,79H,78A
76V,V83,28I
7D5,Z10,11N
m637,M352,M254
I64,A66,C38
K86,881,971
L34,A66,B04
O23,A66,C30
O43,F27,C38
O44,B09,B04
N15,B01,678
O33,791,H02
S18,E97,G17
S96,G33,G68
S37,B01,953
S20,C78,897
R65,C18,H74
S81,A92,H02
R79,A66,C30
R71,C98,I70
S74,C78,J69
T99,F00,G81
V45,C98,C38
T94,B01,971
V37,F08,F25
V72,E54,I63
T29,E97,J85
T82,B01,678
V34,D38,I70
X20,G27,G43
X87,F00,985
V91,F00,931
X48,F00,C87
X76,G33,470
X77,H89,G80
X59,G83,I56
V84,E00,E65
X57,D68,E04
X52,912,J91
X61,726,K80
X44,D38,L26
X55,983,L97
X29,H53,L19
Z21,D71,J69
Z92,G27,678
Z08,I75,K11
Z90,G27,D82
Z76,J19,G11
Z19,E93,897
31A,E93,H02
Z86,D71,J66
Z78,I78,N13
Z91,I75,I21
06A,I85,N16
Z13,F32,I68
Z99,I85,O35
Z54,E05,O78
Z00,D68,A71
Z72,H89,L97
X97,881,J92
Z01,C18,H74
Z77,G27,953
Z71,G21,O30
18A,K22,O87
90A,E05,J61
89A,I37,L29
40A,D78,K80
18B,G09,J91
34B,H87,L80
91A,D71,L19
51A,A66,K04
42A,J88,470
48A,H89,D98
14B,D71,J69
77A,G09,I12
40B,K32,L92
23B,J26,O52
94A,E54,L37
47A,D78,L97
43A,G33,869
46A,K06,E04
37A,D11,O42
29B,C56,C38
37B,I37,N37
98A,K06,D82
58A,C78,N05
16B,J81,D83
28B,G09,J28
33B,I78,G80
32A,I37,D92
38B,I37,C12
49B,H84,O53
57A,983,R78
82A,H87,H74
84A,E05,J66
85A,J81,C63
55B,J26,B04
53A,A66,N12
54A,I37,H45
88A,E05,O78
93A,I37,B10
19B,A85,R59
41A,D78,S11
87A,J81,K89
34A,E05,897
01B,A85,I65
92B,663,O96
71C,E05,H02
85B,J43,O30
12C,I37,T95
61B,H40,O70
66B,I86,L84
38C,D71,O36
04C,L43,S55
83B,E05,R27
13C,J26,O56
42C,D11,L26
84B,L35,L97
99B,J81,D97
01C,D78,S97
98B,D78,N40
72C,I67,G80
36C,D78,L19
45C,J21,I68
85C,K85,J61
69C,J19,S68
50C,E54,C38
11C,I13,L29
97B,I37,C63
82C,J19,R51
03C,J19,D82
34C,K82,S73
94B,D71,J66
33C,J19,K81
02C,N60,D92
47C,G07,J89
10C,I37,C12
68C,I37,D83
30C,J19,953
80C,E93,I21
55C,N07,S59
28C,G37,N12
14C,I86,R78
77B,K57,897
76C,D11,O53
84C,J86,L37
08C,I37,V60
39C,J86,G11
90C,L07,T83
75B,D71,J69
71B,A66,K04
80B,D71,N16
93C,K82,N37
14D,S76,O27
14E,G20,L49
95C,E05,O30
35D,S76,K28
30D,I37,H02
01E,K85,X91
76D,J19,T95
08D,K85,O96
09D,O28,S11
44D,L07,L92
37D,G07,L84
32D,B09,X33
04E,J21,O87
06E,L01,V58
26D,J43,N40
07D,K85,L19
07E,L22,X70
13D,I78,D97
10D,L35,T86
30E,O81,B04
41D,N14,I12
47D,O77,J69
80D,I78,K81
24E,N14,H71
25D,D71,S55
34D,O28,X78
87D,O81,V04
45D,I78,H45
00D,I78,S54
99D,I78,D83
53D,I78,S97
36D,A92,N16
33D,E05,O36
72D,C98,C38
71D,H87,O75
98C,S78,R27
95D,L07,K11
12E,A98,J92
17D,S76,B10
18D,J19,X37
51D,N60,K79
70D,D71,S16
06D,O34,L37
77D,I78,X83
69D,I85,V05
65D,N07,V80
28E,C78,J79
39D,O28,L80
48D,H91,G68
59D,L22,J89
96D,L64,X86
23E,I85,R74
67D,L07,J91
99C,L35,J66
05D,E05,L97
86D,K57,N12
23D,I78,S73
26E,C99,X28
21D,J19,C12
58D,O81,R68
10E,L22,O70
97D,S75,O55
83D,K32,I65
61D,D11,O53
15D,N60,V44
31D,I78,L29
94D,881,V78
96C,L35,897
42F,D71,O36
58F,E05,N16
36E,K85,X34
38F,E93,Z74
30F,O34,T84
42E,H89,J69
95E,K85,O96
78F,J86,C63
36F,J19,O38
50F,S76,K80
34E,I78,S54
51F,K85,O27
82E,L43,R61
55E,D11,O56
87F,H89,02A
45E,I78,S97
13F,N46,X17
25F,S94,04A
85E,R70,J85
70F,708,X37
16F,T16,X51
31E,O34,X78
66E,N46,874
80E,T57,X67
60F,J86,Z67
68F,S78,O30
43F,R70,Z14
82F,B76,Z81
55F,O49,S11
71E,R70,Z07
76F,I78,N37
57F,C56,L49
86E,S77,V81
05F,L64,R75
19F,D71,S16
44E,K85,H02
59E,S94,X70
88E,O81,V58
62E,L43,S59
79E,F26,L37
84F,J86,E04
10F,R70,D69
40F,S76,G11
28F,J88,G17
37E,J19,H45
56F,632,V99
09F,O08,J89
31F,G37,I65
49E,I78,K81
61E,J26,H74
29F,S76,E55
69E,F46,C38
65E,A87,Z11
20F,H87,R68
60E,H90,N12
