Find,ID,Year,Group,sdb.ra,vig.ra,sex,age,rank,rank2,rc,outdeg.grm,indeg.grm,eigen.pr,betw.pr,outdeg.agg,indeg.agg
82A|2012,82A,2012,F,21,55.36,Female,19.5,91.5254,96.4286,0.740631012,0.663,3.648,0.243,0.013,0.016,0
8B5|2012,8B5,2012,F,50.51,120.79,Male,6.7,25.8065,32.1429,0.60635772,0,0,0.002,0.005,0.006,0
92D|2012,92D,2012,F,33.51,65.59,Female,17.6,79.661,75,0.633497703,0,2.979,0.031,0.027,0.013,0.003
96Z|2012,96Z,2012,F,27.86,136.49,Male,7.7,83.871,50,0.606136945,0,3.512,0.023,0.003,0.022,0
V83|2012,V83,2012,F,40.21,64.12,Male,21.6,61.2903,75,0.606532019,0,0,0.018,0.013,0.003,0.003
04Z|2012,04Z,2012,F,31.69,59.41,Male,8.5,54.8387,67.8571,0.606445124,1.797,1.047,0.006,0.003,0.019,0.003
0C6|2012,0C6,2012,F,22.39,69.11,Female,6.6,20.339,64.2857,0.562225517,2.557,6.425,0.219,0.035,0.007,0.003
30L|2012,30L,2012,F,45.31,112.53,Male,12.6,3.2258,7.1429,0.677505648,0,0,0,0,0,0.014
34N|2012,34N,2012,F,24.25,99.43,Female,12.6,37.2881,51.7857,0.651091613,1.001,1.473,0.037,0.006,0.007,0.01
40L|2012,40L,2012,F,29.84,80.78,Female,12.6,49.1525,14.2857,0.713815943,1.039,1.282,0.117,0.005,0.004,0.013
4C1|2012,4C1,2012,F,22.72,95.61,Female,6.8,93.2203,91.0714,0.695693714,2.273,3,0.141,0.009,0.007,0.003
60E|2012,60E,2012,F,30.77,78.81,Male,16.5,32.2581,3.5714,0.749052477,0.229,0,0.021,0.003,0,0.013
62V|2012,62V,2012,F,30.22,80.87,Female,8.6,11.8644,8.9286,0.72266199,0.057,2.355,0.081,0.019,0,0.014
64D|2012,64D,2012,F,32.32,81.75,Female,17.3,28.8136,,,0,0.137,0.046,0.01,0,0.003
7B7|2012,7B7,2012,F,28.15,75.07,Female,6.7,23.7288,16.0714,0.740288638,1.345,0,0.035,0.038,0.01,0.014
96B|2012,96B,2012,F,21.15,85.28,Male,18.6,90.3226,100,0.713643455,1.49,1.225,0.043,0.03,0.017,0.003
98T|2012,98T,2012,F,36.85,57.18,Female,8.5,88.1356,78.5714,0.677956604,5.852,4.898,0.24,0.118,0.006,0.003
00J|2012,00J,2012,F,47.54,144.45,Female,14.3,16.9492,37.5,0.61548865,1.758,3.465,0.049,0.041,0.011,0.01
00O|2012,00O,2012,F,16.54,53.52,Female,12.7,44.0678,89.2857,0.722767321,3.272,2.727,0.034,0.018,0.003,0.007
04N|2012,04N,2012,F,35.44,63.56,Female,12.3,84.7458,46.4286,0.517728083,3.787,0.718,0.217,0.035,0,0.006
07D|2012,07D,2012,F,18.56,92.08,Male,17.6,100,92.8571,0.660083185,4.116,3.789,0.121,0.015,0.023,0
0B8|2012,0B8,2012,F,42.11,74.2,Male,7.7,64.5161,46.4286,0.659504263,2.054,0,0.004,0.001,0.01,0.01
1A3|2012,1A3,2012,F,20.5,82,Female,7.7,30.5085,26.7857,0.642396068,1.274,0.632,0.036,0.011,0,0.016
25R|2012,25R,2012,F,18.86,88.64,Male,10.6,87.0968,82.1429,0.606793753,1.605,2.851,0.143,0.022,0.01,0
2A7|2012,2A7,2012,F,26.73,67.56,Female,7.8,47.4576,,,4.242,3.688,0.105,0.029,0,0.003
2A8|2012,2A8,2012,F,33.41,90.69,Female,7.8,54.2373,85.7143,0.669198775,2.952,2.163,0.151,0.018,0.003,0.003
3C3|2012,3C3,2012,F,17.46,71.89,Female,6.7,32.2034,23.2143,0.695562935,0,0,0.075,0.022,0.003,0.017
42L|2012,42L,2012,F,38.1,68.87,Female,12.6,22.0339,7.1429,0.731674925,3.186,4.139,0.23,0.068,0.003,0.006
43F|2012,43F,2012,F,14.31,40.43,Female,16.5,100,100,0.829453168,0.79,5.752,0.104,0,0.013,0
55V|2012,55V,2012,F,10.51,96.3,Female,8.6,38.9831,80.3571,0.749133522,0,0.114,0.028,0.011,0,0.013
56E|2012,56E,2012,F,41.33,54.05,Female,16.5,59.322,57.1429,0.562039848,0,0.37,0.042,0.007,0.007,0.006
5B0|2012,5B0,2012,F,19.17,106.82,Male,6.6,12.9032,,,0,0,0,0,0,0
61D|2012,61D,2012,F,36.35,81.64,Male,17.4,29.0323,28.5714,0.641943391,0,0,0,0,0.01,0.006
6B2|2012,6B2,2012,F,85.73,196.54,Male,6.8,22.5806,42.8571,0.53552582,5.013,0,0.019,0.001,0,0.004
7C0|2012,7C0,2012,F,19.78,83.64,Female,6.7,62.7119,30.3571,0.722427093,10.69,0.973,0.116,0.011,0.003,0.009
82L|2012,82L,2012,F,26.85,86.3,Female,12.5,71.1864,32.1429,0.633379559,1.742,1.625,0.079,0.013,0.003,0.003
88I|2012,88I,2012,F,30.28,77.51,Female,14.6,61.0169,71.4286,0.597966041,2.417,2.724,0.25,0.038,0.003,0
93Z|2012,93Z,2012,F,14.21,128.69,Female,7.6,3.3898,48.2143,0.517722306,1.05,3.783,0.053,0.013,0,0.006
04I|2012,04I,2012,F,23.99,57.68,Male,14.6,67.7419,78.5714,0.624369681,0,3.276,0.024,0.003,0.023,0.003
18Z|2012,18Z,2012,F,30.57,91.72,Male,8.4,41.9355,,,0,0,0.002,0.007,0.007,0
24B|2012,24B,2012,F,25.33,89.08,Female,19.6,0,25,0.633616155,2.882,2.852,0.019,0.017,0,0.02
30C|2012,30C,2012,F,15.21,78.33,Male,18.5,80.6452,96.4286,0.713620112,0.786,0.282,0.03,0.012,0.013,0
32S|2012,32S,2012,F,27.53,60.23,Female,10.7,67.7966,19.6429,0.68701928,8.069,2.462,0.124,0.04,0.006,0.006
35V|2012,35V,2012,F,28.85,91.88,Male,8.5,35.4839,89.2857,0.62446243,1.018,1.956,0.01,0.013,0.003,0
43P|2012,43P,2012,F,21.03,47.56,Male,11.5,93.5484,85.7143,0.606805324,4.143,4.547,0.196,0.024,0.003,0
44J|2012,44J,2012,F,29.2,104.54,Female,14.7,55.9322,33.9286,0.580019056,2.877,5.12,0.106,0.022,0,0.013
50S|2012,50S,2012,F,17.66,71.75,Female,9.7,66.1017,69.6429,0.59785089,1.053,3.869,0.091,0.017,0.007,0.003
57H|2012,57H,2012,F,32.14,57.86,Female,15.4,33.8983,21.4286,0.660102901,0.13,1.062,0.106,0.022,0.003,0.016
5C0|2012,5C0,2012,F,12.9,49.55,Female,6.7,96.6102,76.7857,0.624481564,2.326,3.185,0.17,0.018,0.013,0.003
63V|2012,63V,2012,F,30.57,63.25,Female,8.7,25.4237,35.7143,0.588562373,2.484,4.922,0.129,0.021,0.003,0.01
64P|2012,64P,2012,F,12.75,89.28,Female,11.6,72.8814,98.2143,0.749609971,1.636,3.822,0.146,0.059,0.013,0
80T|2012,80T,2012,F,40.61,94.76,Male,9.4,19.3548,21.4286,0.588878234,0.43,1.712,0.009,0.002,0.003,0.01
87K|2012,87K,2012,F,23.75,62.06,Female,13.7,18.6441,17.8571,0.704745355,4.467,4.772,0.18,0.007,0.007,0.01
88T|2012,88T,2012,F,19.95,79.8,Male,8.6,48.3871,64.2857,0.642047384,0,3.08,0.032,0,0.011,0.016
K00|2012,K00,2012,F,15.58,81.81,Female,26.5,76.2712,41.0714,0.526628473,0.463,0,0.008,0.006,0,0.003
O52|2012,O52,2012,F,13.7,78.3,Female,24.5,64.4068,39.2857,0.695767547,2.553,3.376,0.245,0.036,0,0.013
0A4|2012,0A4,2012,F,14.99,60.88,Female,7.8,77.9661,55.3571,0.704594565,0.32,2.047,0.049,0.001,0.006,0.006
8B0|2012,8B0,2012,F,20.49,56.51,Female,6.8,35.5932,58.9286,0.562091155,4.011,4.34,0.128,0.075,0.004,0.01
12Z|2012,12Z,2012,F,14.52,84.73,Male,8.7,16.129,39.2857,0.535643142,,,,,,
59A|2012,59A,2012,F,12.31,66.66,Female,19.7,74.5763,,,0.454,1.423,0.084,0.013,0,0.004
1C0|2012,1C0,2012,F,10.77,90.45,Female,6.7,69.4915,67.8571,0.624177118,3.536,3.853,0.058,0.008,0.024,0.007
4C2|2012,4C2,2012,F,33.21,79.23,Female,6.8,15.2542,12.5,0.740381349,4.634,0.498,0.058,0.013,0.007,0.01
7B3|2012,7B3,2012,F,35.81,99.47,Male,6.8,70.9677,57.1429,0.535467737,1.498,0,0.015,0.005,0.01,0
6B0|2012,6B0,2012,F,78.6,78.6,Female,6.8,45.4069,,,,,,,,
2C9|2012,2C9,2012,F,29.98,72.23,Male,6.8,9.6774,,,0,0,0.001,0,0,0.004
17L|2012,17L,2012,F,16.91,101.47,Male,13.6,23.4281,10.7143,0.659989299,,,,,,
33T|2012,33T,2012,F,27.97,251.74,Male,9.8,6.4516,,,,,,,,
35N|2012,35N,2012,F,2.51,32.65,Female,12.8,1.6949,44.6429,0.517803891,,,,,,
00O|2013,00O,2013,F,22.84,184.57,Female,13.2,51.5152,25,0.829939594,0.707,0.64,0.076,0.057,0.001,0
04I|2013,04I,2013,F,22.41,120.5,Male,15.2,88.8889,97.4359,0.858635613,0.638,0.101,0.053,0.003,0.005,0
04N|2013,04N,2013,F,24.54,117.54,Female,12.9,83.3333,22.0588,0.846198246,1.504,0.91,0.183,0.002,0.006,0
0A4|2013,0A4,2013,F,28.16,133.76,Female,8.3,77.2727,77.9412,0.845110584,0,0,0.095,0.014,0.003,0.001
0A9|2013,0A9,2013,F,29.6,108.43,Female,8.2,13.6364,72.0588,0.845003283,0.831,0,0.019,0.012,0,0.008
0B8|2013,0B8,2013,F,36.07,144.29,Male,8.2,86.6667,82.0513,0.717245105,0,0.538,0.021,0.011,0.001,0.002
12Z|2013,12Z,2013,F,25.54,145.48,Male,9.2,75.5556,46.1538,0.627296466,0,0.038,0.016,0.008,0.004,0
17L|2013,17L,2013,F,25.19,148.85,Male,14,33.3333,33.3333,0.627481529,,,,,,
28B|2013,28B,2013,F,13.67,101.81,Male,20.1,84.4444,84.6154,0.858106964,0,0.248,0.04,0.005,0.002,0
35N|2013,35N,2013,F,11.92,109.94,Female,13.2,7.5758,45.5882,0.86570602,0,0.285,0.016,0.017,0,0.001
3B9|2013,3B9,2013,F,74.44,161.29,Male,7.3,51.1111,35.8974,0.742622772,0,0.339,0.003,0,0.002,0.002
43J|2013,43J,2013,F,9.44,127.66,Female,15.1,95.4545,98.5294,0.970516607,0.381,1.974,0.362,0.012,0,0
62V|2013,62V,2013,F,33.05,149.76,Female,9.2,18.1818,,,0.287,0,0.021,0.01,0.001,0.003
64D|2013,64D,2013,F,29.86,126.1,Female,17.9,42.4242,1.4706,0.888799129,0,0,0.021,0.005,0.002,0
6C0|2013,6C0,2013,F,35.26,106.23,Female,7,89.3939,73.5294,0.821872867,2.679,1.097,0.216,0.019,0.003,0.001
73B|2013,73B,2013,F,13.78,110.56,Female,19.1,56.0606,,,0.531,0,0.061,0.002,0,0.003
7C0|2013,7C0,2013,F,18.92,126.61,Female,7.3,60.6061,91.1765,0.907205821,3.501,0.99,0.09,0.009,0,0.002
8A7|2013,8A7,2013,F,31.05,147.47,Male,8.3,71.1111,,,2.078,3.078,0.002,0.012,0,0
8C0|2013,8C0,2013,F,52.16,218.95,Male,6.4,46.6667,74.359,0.844967048,0.479,0,0.011,0.002,0,0
90D|2013,90D,2013,F,13.25,117.74,Female,18.1,53.0303,,,0,0,0.065,0.014,0.002,0
92D|2013,92D,2013,F,15.24,130.11,Female,18.2,78.7879,86.7647,0.923225073,0.275,0.77,0.014,0.003,0.001,0.002
96Z|2013,96Z,2013,F,12.2,180.08,Male,8.3,62.2222,,,0.524,0.358,0.002,0.002,0.005,0
9C2|2013,9C2,2013,F,31.71,204.33,Female,6.3,10.6061,,,0.51,0.492,0.002,0.003,0,0.005
O52|2013,O52,2013,F,22.49,175.88,Female,25.1,63.6364,,,1.739,2.265,0.144,0.018,0,0
0E3|2013,0E3,2013,F,14.74,120.88,Male,6.4,47.3956,,,,,,,,
22R|2013,22R,2013,F,43.99,163.41,Male,11.3,77.7778,,,,,,,,
29B|2013,29B,2013,F,29.56,129.6,Female,20.1,15.1515,60.2941,0.816565032,0,0,0.022,0.007,0,0.002
2A7|2013,2A7,2013,F,26.37,147.62,Female,8.4,45.4545,79.4118,0.835614389,0,0,0.065,0.006,0.001,0.004
30C|2013,30C,2013,F,31.05,90.78,Male,19.1,93.3333,100,0.909438389,0,0,0.037,0.01,0,0
32S|2013,32S,2013,F,18.17,161.54,Female,11.3,65.1515,80.8824,0.874729261,0.089,0.047,0.083,0.04,0,0.001
42L|2013,42L,2013,F,19.05,101.97,Female,13.2,27.2727,,,0.513,1.992,0.008,0.024,0.001,0.001
44J|2013,44J,2013,F,19.65,111.04,Female,15.3,68.1818,8.8235,0.735032103,0.264,0.668,0.07,0.013,0,0.005
4C1|2013,4C1,2013,F,13.34,91.5,Female,7.3,93.9394,85.2941,0.900295692,1.179,1.523,0.275,0.014,0.005,0.001
50S|2013,50S,2013,F,35.52,144.35,Female,10.3,62.1212,38.2353,0.741923533,0.284,0.771,0.044,0.013,0.002,0.002
56E|2013,56E,2013,F,26.68,125.35,Female,17.1,57.5758,70.5882,0.550171157,0.085,0.531,0.062,0.014,0.001,0
59A|2013,59A,2013,F,13.15,117.35,Female,20.3,72.7273,88.2353,0.894812929,0,0.111,0.112,0.009,0.003,0
5C0|2013,5C0,2013,F,14.6,119.97,Female,7.3,96.9697,89.7059,0.913675177,0.656,0.386,0.266,0.034,0.002,0
60P|2013,60P,2013,F,20.18,143.95,Female,12.2,81.8182,,,0.115,0.597,0.054,0.011,0.002,0
60T|2013,60T,2013,F,36.99,142.81,Male,10.3,66.6667,92.3077,0.883524524,0.676,0.14,0.019,0.008,0.001,0.001
61J|2013,61J,2013,F,19.8,115.85,Female,14,43.9394,39.7059,0.867958738,0.014,0,0.156,0.025,0.001,0.001
62H|2013,62H,2013,F,15.76,130.22,Female,16.2,80.303,94.1176,0.930679405,0,0.689,0.116,0.015,0.003,0
68V|2013,68V,2013,F,22.65,146.58,Female,9.2,1.5152,42.6471,0.808842049,0.05,0,0.004,0.008,0,0.001
74S|2013,74S,2013,F,27.95,146.35,Female,10.2,16.6667,,,0,0,0.017,0.006,0,0
82A|2013,82A,2013,F,24.74,116.88,Female,20.1,92.4242,92.6471,0.92612281,0.048,0.455,0.214,0.026,0,0
82L|2013,82L,2013,F,19.5,118.92,Female,13.1,74.2424,54.4118,0.817691312,0.216,0.101,0.051,0.027,0.001,0.001
87K|2013,87K,2013,F,26.95,104.07,Female,14.3,24.2424,,,0.654,0.558,0.018,0.017,0.001,0.005
88I|2013,88I,2013,F,18.93,128,Female,15.2,59.0909,,,0.621,0.06,0.062,0.005,0,0
98T|2013,98T,2013,F,26.86,151.72,Female,9.1,84.8485,75,0.850319294,0.273,0.177,0.155,0.038,0.001,0.001
9D1|2013,9D1,2013,F,32.67,119.79,Male,6.4,82.2222,89.7436,0.870873423,0,0.506,0.04,0.006,0.007,0.001
00J|2013,00J,2013,F,16.91,162.02,Female,14.9,22.7273,48.5294,0.851844679,1.846,0.375,0.005,0.002,0.001,0.006
03J|2013,03J,2013,F,21.09,138.66,Female,15.2,12.1212,17.6471,0.800648622,0.483,0.073,0.007,0.023,0,0.002
04Z|2013,04Z,2013,F,34.52,146.82,Male,9.1,80,,,0.36,0.138,0.025,0.029,0,0
17C|2013,17C,2013,F,19.75,123.02,Female,19.1,86.3636,,,0.193,0.765,0.169,0.006,0,0
1A3|2013,1A3,2013,F,23.47,132.5,Female,8.3,31.8182,14.7059,0.866808929,0.038,0.399,0.014,0.003,0,0.002
1C0|2013,1C0,2013,F,14.54,134.91,Female,7.3,69.697,69.1176,0.827212498,1.089,0.577,0.073,0.015,0.002,0.003
20F|2013,20F,2013,F,11.18,105.87,Female,17.1,40.9091,20.5882,0.756227464,0.317,0,0.06,0.016,0,0
24B|2013,24B,2013,F,17.2,168.95,Female,20.2,4.5455,50,0.892022712,0,0,0.002,0.002,0,0.001
29H|2013,29H,2013,F,26.82,153.72,Male,16.1,55.5556,56.4103,0.538377188,0,0,0.022,0.009,0.001,0
2C9|2013,2C9,2013,F,35.04,160.06,Male,7.3,44.4444,58.9744,0.525632484,0,0,0.002,0,0,0
34N|2013,34N,2013,F,23.6,84.35,Female,13.2,37.8788,35.2941,0.858243871,0.511,0.33,0.072,0.018,0.004,0.006
36Z|2013,36Z,2013,F,37.52,156.02,Female,9.1,19.697,7.3529,0.836604613,1.805,0.968,0.004,0.014,0.001,0.003
3E2|2013,3E2,2013,F,25.47,120.87,Female,6.4,87.8788,23.5294,0.818841269,0.391,0.751,0.207,0.019,0,0
3E4|2013,3E4,2013,F,39.62,210.08,Male,6.2,35.5556,61.5385,0.767784479,0.08,0,0.014,0.004,0.003,0
43F|2013,43F,2013,F,14.6,101.39,Female,17.1,100,100,0.984948853,0,0.459,0.285,0.005,0,0.001
43P|2013,43P,2013,F,26.76,115.85,Male,12.1,95.5556,66.6667,0.563459558,0.273,0.734,0.273,0.021,0.002,0
4C2|2013,4C2,2013,F,28.51,176.24,Female,7.4,21.2121,57.3529,0.881716721,1.175,0.889,0.02,0.053,0.001,0
50I|2013,50I,2013,F,37.26,170.87,Female,15.2,50,55.8824,0.834523824,0,0.014,0.02,0.005,0,0.005
55V|2013,55V,2013,F,30.75,166.65,Female,9.2,39.3939,83.8235,0.878204486,0.499,0.511,0.044,0.009,0.002,0.001
5B0|2013,5B0,2013,F,36.44,220.39,Male,7.2,60,30.7692,0.704262609,,,,,,
5D2|2013,5D2,2013,F,46.32,245.44,Male,6.4,28.8889,,,,,,,,
60E|2013,60E,2013,F,20.19,208.6,Male,17.1,15.5556,,,,,,,,
79Z|2013,79Z,2013,F,17.77,133.47,Female,8.3,48.4848,52.9412,0.849529922,0,0,0.064,0.012,0.001,0
8C2|2013,8C2,2013,F,16.22,308.11,Male,6.2,0,15.3846,0.768310267,0,0,0.001,0,0,0.001
K00|2013,K00,2013,F,21.21,139.31,Female,27,75.7576,,,0.727,0.638,0.015,0.002,0,0
0C6|2013,0C6,2013,F,22.11,97.52,Female,7.2,25.7576,19.1176,0.800060894,0.782,0.954,0.005,0.005,0,0.001
18Z|2013,18Z,2013,F,28.32,187.86,Male,9,64.4444,7.6923,0.755425709,0,0,0.008,0.004,0.002,0
28J|2013,28J,2013,F,25.03,138.19,Female,15,3.0303,44.1176,0.877092255,,,,,,
2A8|2013,2A8,2013,F,44.37,99.3,Female,8.4,66.6667,66.1765,0.840203496,1.402,0.521,0.102,0.031,0,0.002
3C3|2013,3C3,2013,F,17.75,145.77,Female,7.3,34.8485,26.4706,0.829226482,0.597,0.238,0.024,0.014,0,0
40L|2013,40L,2013,F,29.5,154.87,Female,13.2,46.9697,13.2353,0.85961566,0,0,0.146,0.013,0.001,0
57H|2013,57H,2013,F,13.34,120.07,Female,16,36.3636,97.0588,0.829474378,0,0.308,0.07,0.008,0,0
63V|2013,63V,2013,F,32.95,119.37,Female,9.3,30.303,11.7647,0.874186263,0.112,1.932,0.042,0.003,0,0.003
64P|2013,64P,2013,F,15.5,117.19,Female,12.2,71.2121,58.8235,0.833812185,0.153,1.038,0.07,0.009,0.001,0.003
6B2|2013,6B2,2013,F,26.37,198.82,Male,7.4,6.6667,,,0,0,0.003,0.014,0,0
7B7|2013,7B7,2013,F,38.58,160.41,Female,7.3,28.7879,61.7647,0.874745866,0.739,0.115,0.029,0.004,0.001,0.006
88T|2013,88T,2013,F,28.49,148.99,Male,9.2,48.8889,,,0,0,0.005,0.002,0,0.003
8B0|2013,8B0,2013,F,21.07,149.79,Female,7.4,54.5455,76.4706,0.818416131,0.355,0,0.123,0.026,0,0.001
93Z|2013,93Z,2013,F,21.96,145.84,Female,8.2,9.0909,,,0.476,0.222,0.004,0.004,0.001,0
96B|2013,96B,2013,F,21.35,153.58,Male,19.2,91.1111,94.8718,0.858570118,0,0,0.067,0.023,0.006,0
9A4|2013,9A4,2013,F,22.1,135.88,Female,8.4,6.0606,4.4118,0.89621775,0.359,0,0.007,0.01,0,0.001
9D8|2013,9D8,2013,F,17.37,94.12,Female,6.3,90.9091,67.6471,0.878830684,0.159,1.212,0.228,0.011,0.001,0.002
61D|2013,61D,2013,F,75.57,130.53,Male,18,11.1111,,,,,,,,
8C9|2013,8C9,2013,F,0,65.6,Male,6.4,4.4444,,,0,0,0.013,0.013,0,0
07D|2013,07D,2013,F,21.03,172.51,Male,18.2,100,,,0,0,0.235,0.006,0.005,0
7D8|2013,7D8,2013,F,24.3,154.31,Female,6.5,33.3333,82.3529,0.878191195,0.283,0.049,0.067,0.033,0.001,0
42T|2013,42T,2013,F,32.88,214.28,Male,10.3,73.3333,79.4872,0.858149687,0,0,0.003,0.001,0,0.001
7B2|2013,7B2,2013,F,20.87,184.62,Male,7.5,57.7778,,,0,0,0.033,0.006,0,0
50P|2013,50P,2013,F,68.31,157.89,Male,12.1,26.6667,,,0,0,0.002,0,0,0
8B5|2013,8B5,2013,F,44.35,160.69,Male,7.6,53.3333,,,0,0,0,0,0.004,0.003
30L|2013,30L,2013,F,43.81,197.42,Male,13.4,42.2222,25.641,0.703823017,0.038,0,0.008,0,0.001,0
26P|2011,26P,2011,S,26.2,,Male,10.6,91.1111,50,0.811604935,4.625,24.262,0.122,0.08,0.306,0.075
48L|2011,48L,2011,S,19.51,,Male,11.5,95.5556,87.5,0.99783503,8.341,6.943,0.332,0.023,0.449,0.025
4A9|2011,4A9,2011,S,63.22,,Female,6.5,83.3333,89.4737,0.995939813,6.93,5.224,0.062,0,0.1,0.112
53N|2011,53N,2011,S,37.11,,Male,11.6,100,100,0.999220633,16.532,41.827,0.398,0.098,0.225,0.006
57T|2011,57T,2011,S,61.69,,Female,8.6,11.1111,31.5789,0.968387832,23.936,16.524,0.166,0,0.025,0.181
70T|2011,70T,2011,S,50.87,,Female,8.6,27.7778,52.6316,0.922222849,37.02,4.916,0.167,0.001,0.012,0.137
72T|2011,72T,2011,S,62.65,,Male,8.5,86.6667,37.5,0.872415331,1.461,14.443,0.136,0.015,0.237,0.081
81I|2011,81I,2011,S,27.88,,Female,13.5,55.5556,63.1579,0.902003155,16.085,22.168,0.175,0.002,0.031,0.087
88N|2011,88N,2011,S,34.22,,Female,11.3,33.3333,21.0526,0.968810749,25.597,9.451,0.147,0.001,0.069,0.112
Z82|2011,Z82,2011,S,28.92,,Female,19.6,16.6667,15.7895,0.966702914,11.606,18.767,0.276,0.033,0.037,0.15
30F|2011,30F,2011,S,23.67,,Female,15.6,50,47.3684,0.893396615,,,,,,
38Z|2011,38Z,2011,S,10.82,,Female,7.7,100,100,0.996067006,8.777,14.086,0.145,0.001,0.106,0.075
5A0|2011,5A0,2011,S,42.56,,Female,6.6,77.7778,78.9474,0.965592559,10.726,15.327,0.027,0,0.112,0.106
74K|2011,74K,2011,S,71.77,,Female,12.5,72.2222,42.1053,0.905066409,21.488,20.896,0.135,0,0.062,0.087
82V|2011,82V,2011,S,32.25,,Female,7.7,5.5556,5.2632,0.942308457,2.66,7.042,0.12,0.001,0,0.231
9A1|2011,9A1,2011,S,33.11,,Male,6.5,84.4444,12.5,0.873871313,13.075,10.488,0.174,0.111,0.175,0.131
T83|2011,T83,2011,S,27.69,,Female,21.4,0,10.5263,0.943831706,,,,,,
T84|2011,T84,2011,S,38.57,,Female,21.4,61.1111,57.8947,0.919808535,17.672,4.481,0.271,0.059,0.087,0.119
03N|2011,03N,2011,S,26.07,,Male,11.6,93.3333,75,0.997416857,9.046,16.216,0.394,0.152,0.237,0.012
36D|2011,36D,2011,S,45.25,,Female,16.4,38.8889,26.3158,0.86442812,6.759,0.721,0.024,0,0,0.1
5A1|2011,5A1,2011,S,42.29,,Female,6.6,88.8889,94.7368,0.994516574,12.789,8.482,0.028,0,0.125,0.106
98V|2011,98V,2011,S,44.53,,Female,7.7,50,84.2105,0.938010508,5.265,2.635,0.052,0.002,0.056,0.137
82Z|2011,82Z,2011,S,69.67,,Female,6.6,22.2222,36.8421,0.903221755,20.514,11.495,0.025,0,0.037,0.2
88V|2011,88V,2011,S,47.29,,Male,7.6,88.8889,62.5,0.93470918,1.932,27.553,0.367,0.085,0.256,0.081
97R|2011,97R,2011,S,40.09,,Female,9.5,44.4444,73.6842,0.96650806,4.17,0,0.059,0.001,0.062,0.15
7A9|2011,7A9,2011,S,47.41,,Female,6.6,66.6667,68.4211,0.948530767,16.739,4.437,0.06,0.001,0.056,0.137
05Z|2011,05Z,2011,S,45.75,,Male,7.6,82.2222,25,0.873639525,4.898,0,0.065,0.012,0.037,0.094
19A|2013,19A,2013,KK,35.31,160.68,Female,21.3,36.6667,20.5882,0.87358528,,,,,,
1C5|2013,1C5,2013,KK,36.16,176.64,Female,7.6,2.8571,14.7059,0.971665789,,,,,,
1E2|2013,1E2,2013,KK,25.22,194.98,Female,6.7,83.3333,97.0588,0.889668368,,,,,,
21H|2013,21H,2013,KK,21.34,156.67,Female,16.2,80,91.1765,0.845048723,,,,,,
2C4|2013,2C4,2013,KK,21.52,161.11,Female,7.6,43.3333,52.9412,0.752841057,,,,,,
37V|2013,37V,2013,KK,29.06,225.6,Female,9.6,30,26.4706,0.846976237,,,,,,
3A2|2013,3A2,2013,KK,24.8,168.94,Female,8.5,33.3333,44.1176,0.774502499,,,,,,
44V|2013,44V,2013,KK,25.69,154.94,Female,9.3,23.3333,17.6471,0.886481149,,,,,,
49V|2013,49V,2013,KK,30.8,188.73,Female,9.6,10,55.8824,0.797768593,,,,,,
4D8|2013,4D8,2013,KK,24.38,175.44,Female,6.7,73.3333,61.7647,0.796959511,,,,,,
51V|2013,51V,2013,KK,34.12,163.47,Female,9.6,13.3333,32.3529,0.82049033,,,,,,
53E|2013,53E,2013,KK,25.68,155.7,Female,17.3,50,36.7647,0.866954352,,,,,,
60R|2013,60R,2013,KK,24.74,152.53,Female,11.5,60,64.7059,0.761107121,,,,,,
6D4|2013,6D4,2013,KK,28.15,194.33,Female,6.7,16.6667,41.1765,0.818665922,,,,,,
74T|2013,74T,2013,KK,23.89,173.84,Female,10.6,66.6667,67.6471,0.778833955,,,,,,
76J|2013,76J,2013,KK,26.04,159.86,Female,14.4,76.6667,79.4118,0.787667799,,,,,,
83Z|2013,83Z,2013,KK,19.43,210.26,Female,8.5,53.3333,58.8235,0.753187,,,,,,
93O|2013,93O,2013,KK,29.62,166.18,Female,12.5,20,29.4118,0.792093975,,,,,,
0B6|2013,0B6,2013,KK,22.97,176.55,Female,8.5,86.6667,94.1176,0.87887005,,,,,,
1C7|2013,1C7,2013,KK,26.68,194.42,Female,7.6,26.6667,2.9412,0.978946352,,,,,,
24V|2013,24V,2013,KK,26.81,168.86,Female,9.5,93.3333,88.2353,0.870090583,,,,,,
2C3|2013,2C3,2013,KK,11.31,196.31,Female,7.6,70,73.5294,0.781510444,,,,,,
55J|2013,55J,2013,KK,22.15,159.07,Female,14.6,6.6667,23.5294,0.860723941,,,,,,
62R|2013,62R,2013,KK,18.44,133.31,Female,11.4,90,76.4706,0.838773641,,,,,,
6C2|2013,6C2,2013,KK,21.82,171.48,Female,7.7,46.6667,50,0.768854439,,,,,,
6D6|2013,6D6,2013,KK,36.37,185.76,Female,6.6,56.6667,70.5882,0.787484411,,,,,,
86Z|2013,86Z,2013,KK,30.47,200.53,Female,8.7,63.3333,47.0588,0.766948663,,,,,,
9C5|2013,9C5,2013,KK,30.76,176.92,Female,6.7,3.3333,38.2353,0.83272377,,,,,,
25P|2013,25P,2013,KK,25.71,187.12,Female,12.5,0,11.7647,0.992594516,,,,,,
6D9|2013,6D9,2013,KK,23.85,233.73,Female,6.6,40,35.2941,0.775440142,,,,,,
