Find,ID,Year,Group,sdb.ra,vig.ra,sex,age,rank,rank2,rc,outdeg.grm,indeg.grm,eigen.pr,betw.pr,outdeg.agg,indeg.agg
32S|2010,32S,2010,F,28.04,,Female,8.9,41.3793,63.7931,0.869094767,0,0,0.061,0.015,0.024,0.025
35N|2010,35N,2010,F,25.64,,Female,10.8,84.4828,87.931,0.961515882,0.425,0.34,0.215,0.02,0.071,0.02
35V|2010,35V,2010,F,31.1,,Male,6.7,59.375,54.8387,0.800381879,1.055,0,0.003,0.001,0.007,0.004
36Z|2010,36Z,2010,F,20.62,,Female,6.8,6.8966,41.3793,0.808797901,0.429,0.073,0.06,0.009,0.003,0.028
50S|2010,50S,2010,F,26.85,,Female,8,43.1034,22.4138,0.893991996,0,0,0.021,0.004,0.01,0.032
52P|2010,52P,2010,F,18.55,,Female,9.8,75.8621,77.5862,0.888793026,0.368,0,0.075,0.007,0.042,0.024
56A|2010,56A,2010,F,16.96,,Female,17.7,94.8276,98.2759,0.962229054,0,0.667,0.266,0.02,0.033,0.011
60P|2010,60P,2010,F,32.36,,Female,9.8,60.3448,48.2759,0.833503285,0.941,0,0.133,0.054,0.025,0.014
64P|2010,64P,2010,F,30.78,,Female,9.8,56.8966,74.1379,0.885488071,0,1.299,0.064,0.03,0.021,0.037
81O|2010,81O,2010,F,53.68,,Male,9.9,43.75,64.5161,0.830462441,0.063,2.404,0.007,0.002,0.048,0.021
82A|2010,82A,2010,F,7.41,,Female,17.7,68.9655,68.9655,0.865475361,0,0.675,0.068,0.004,0.013,0.055
87K|2010,87K,2010,F,21.01,,Female,11.9,10.3448,29.3103,0.877704964,0.134,0.074,0.048,0.018,0.014,0.017
92D|2010,92D,2010,F,26.35,,Female,15.8,53.4483,100,0.590361379,1.374,2.488,0.06,0.005,0.019,0.041
O34|2010,O34,2010,F,35.54,,Male,22.8,81.25,96.7742,0.738880411,0,0.394,0.023,0.008,0.027,0
20F|2010,20F,2010,F,45.73,,Female,14.7,15.5172,1.7241,0.922999908,1.282,0.987,0.03,0.018,0.003,0.031
29Z|2010,29Z,2010,F,28.63,,Female,6.8,93.1034,91.3793,0.97612922,1.446,0.312,0.33,0.039,0.058,0.023
43F|2010,43F,2010,F,19.72,,Female,14.8,72.4138,70.6897,0.864188921,2.222,0.828,0.133,0.01,0.035,0.024
60E|2010,60E,2010,F,61.99,,Male,14.7,15.625,19.3548,0.881357013,0,0,0.03,0.008,0.006,0.016
68J|2010,68J,2010,F,23.72,,Female,12.3,91.3793,89.6552,0.961725201,0.239,1.279,0.222,0.011,0.031,0.013
96T|2010,96T,2010,F,34,,Male,6.8,9.375,38.7097,0.689647136,0.856,0.277,0.004,0.001,0.007,0.019
04N|2010,04N,2010,F,24.5,,Female,10.6,62.069,36.2069,0.863619852,3.375,0.078,0.173,0.009,0.014,0.062
05I|2010,05I,2010,F,35.59,,Male,12.7,28.125,32.2581,0.944331882,3.449,0.856,0.019,0.02,0.025,0.007
25R|2010,25R,2010,F,32.06,,Male,8.9,62.5,74.1935,0.784123925,0.287,0.289,0.006,0.002,0.014,0.006
28J|2010,28J,2010,F,14.7,,Female,12.6,82.7586,81.0345,0.902804618,1.294,1.469,0.269,0.028,0.086,0.023
30L|2010,30L,2010,F,50.26,,Male,10.8,65.625,48.3871,0.785288661,1.052,2.738,0.041,0.008,0.071,0.01
50I|2010,50I,2010,F,20.73,,Female,12.8,17.2414,18.9655,0.921096792,1.73,0.449,0.062,0.004,0.007,0.029
